arm,group,dataset,subject,seed,protocol,token,ends_at_ms,test_acc
reader,cohort,2a,1,2025,within,1,128.0,26.0417
reader,cohort,2a,1,2025,within,2,256.0,29.5139
reader,cohort,2a,1,2025,within,3,384.0,31.25
reader,cohort,2a,1,2025,within,4,512.0,53.4722
reader,cohort,2a,1,2025,within,5,640.0,55.5556
reader,cohort,2a,1,2025,within,6,768.0,56.25
reader,cohort,2a,1,2025,within,7,896.0,64.9306
reader,cohort,2a,1,2025,within,8,1024.0,73.6111
reader,cohort,2a,1,2025,within,9,1152.0,78.125
reader,cohort,2a,1,2025,within,10,1280.0,77.7778
reader,cohort,2a,1,2025,within,11,1408.0,79.5139
reader,cohort,2a,1,2025,within,12,1536.0,80.9028
reader,cohort,2a,1,2025,within,13,1664.0,85.4167
reader,cohort,2a,1,2025,within,14,1792.0,84.7222
reader,cohort,2a,1,2025,within,15,1920.0,87.5
reader,cohort,2a,1,2025,within,16,2048.0,88.1944
reader,cohort,2a,1,2025,within,17,2176.0,86.8056
reader,cohort,2a,1,2025,within,18,2304.0,87.8472
reader,cohort,2a,1,2025,within,19,2432.0,88.1944
reader,cohort,2a,1,2025,within,20,2560.0,89.9306
reader,cohort,2a,1,2025,within,21,2688.0,88.1944
reader,cohort,2a,1,2025,within,22,2816.0,89.2361
reader,cohort,2a,1,2025,within,23,2944.0,89.2361
reader,cohort,2a,1,2025,within,24,3072.0,88.5417
reader,cohort,2a,1,2025,within,25,3200.0,88.5417
reader,cohort,2a,1,2025,within,26,3328.0,88.5417
reader,cohort,2a,1,2025,within,27,3456.0,88.5417
reader,cohort,2a,1,2025,within,28,3584.0,89.5833
reader,cohort,2a,1,2025,within,29,3712.0,89.5833
reader,cohort,2a,1,2025,within,30,3840.0,88.1944
reader,cohort,2a,1,2025,within,31,3968.0,88.8889
reader,cohort,2a,1,2025,within,32,4096.0,91.3194
reader,cohort,2a,1,2026,within,1,128.0,25.0
reader,cohort,2a,1,2026,within,2,256.0,25.0
reader,cohort,2a,1,2026,within,3,384.0,26.7361
reader,cohort,2a,1,2026,within,4,512.0,48.2639
reader,cohort,2a,1,2026,within,5,640.0,55.5556
reader,cohort,2a,1,2026,within,6,768.0,60.0694
reader,cohort,2a,1,2026,within,7,896.0,67.0139
reader,cohort,2a,1,2026,within,8,1024.0,73.9583
reader,cohort,2a,1,2026,within,9,1152.0,79.8611
reader,cohort,2a,1,2026,within,10,1280.0,81.5972
reader,cohort,2a,1,2026,within,11,1408.0,82.2917
reader,cohort,2a,1,2026,within,12,1536.0,83.3333
reader,cohort,2a,1,2026,within,13,1664.0,84.0278
reader,cohort,2a,1,2026,within,14,1792.0,84.7222
reader,cohort,2a,1,2026,within,15,1920.0,86.8056
reader,cohort,2a,1,2026,within,16,2048.0,87.1528
reader,cohort,2a,1,2026,within,17,2176.0,89.5833
reader,cohort,2a,1,2026,within,18,2304.0,90.2778
reader,cohort,2a,1,2026,within,19,2432.0,90.625
reader,cohort,2a,1,2026,within,20,2560.0,89.9306
reader,cohort,2a,1,2026,within,21,2688.0,90.2778
reader,cohort,2a,1,2026,within,22,2816.0,89.2361
reader,cohort,2a,1,2026,within,23,2944.0,89.9306
reader,cohort,2a,1,2026,within,24,3072.0,88.8889
reader,cohort,2a,1,2026,within,25,3200.0,90.2778
reader,cohort,2a,1,2026,within,26,3328.0,89.5833
reader,cohort,2a,1,2026,within,27,3456.0,90.2778
reader,cohort,2a,1,2026,within,28,3584.0,89.5833
reader,cohort,2a,1,2026,within,29,3712.0,90.625
reader,cohort,2a,1,2026,within,30,3840.0,90.9722
reader,cohort,2a,1,2026,within,31,3968.0,91.3194
reader,cohort,2a,1,2026,within,32,4096.0,90.625
reader,cohort,2a,1,2027,within,1,128.0,25.0
reader,cohort,2a,1,2027,within,2,256.0,25.3472
reader,cohort,2a,1,2027,within,3,384.0,34.0278
reader,cohort,2a,1,2027,within,4,512.0,49.3056
reader,cohort,2a,1,2027,within,5,640.0,51.3889
reader,cohort,2a,1,2027,within,6,768.0,57.2917
reader,cohort,2a,1,2027,within,7,896.0,66.3194
reader,cohort,2a,1,2027,within,8,1024.0,73.9583
reader,cohort,2a,1,2027,within,9,1152.0,76.3889
reader,cohort,2a,1,2027,within,10,1280.0,78.8194
reader,cohort,2a,1,2027,within,11,1408.0,81.25
reader,cohort,2a,1,2027,within,12,1536.0,80.9028
reader,cohort,2a,1,2027,within,13,1664.0,84.0278
reader,cohort,2a,1,2027,within,14,1792.0,83.3333
reader,cohort,2a,1,2027,within,15,1920.0,84.7222
reader,cohort,2a,1,2027,within,16,2048.0,87.5
reader,cohort,2a,1,2027,within,17,2176.0,87.1528
reader,cohort,2a,1,2027,within,18,2304.0,86.8056
reader,cohort,2a,1,2027,within,19,2432.0,87.5
reader,cohort,2a,1,2027,within,20,2560.0,87.5
reader,cohort,2a,1,2027,within,21,2688.0,86.1111
reader,cohort,2a,1,2027,within,22,2816.0,86.1111
reader,cohort,2a,1,2027,within,23,2944.0,86.8056
reader,cohort,2a,1,2027,within,24,3072.0,86.8056
reader,cohort,2a,1,2027,within,25,3200.0,86.4583
reader,cohort,2a,1,2027,within,26,3328.0,85.4167
reader,cohort,2a,1,2027,within,27,3456.0,88.5417
reader,cohort,2a,1,2027,within,28,3584.0,88.5417
reader,cohort,2a,1,2027,within,29,3712.0,87.5
reader,cohort,2a,1,2027,within,30,3840.0,87.5
reader,cohort,2a,1,2027,within,31,3968.0,88.5417
reader,cohort,2a,1,2027,within,32,4096.0,90.2778
reader,cohort,2a,2,2025,within,1,128.0,26.3889
reader,cohort,2a,2,2025,within,2,256.0,30.5556
reader,cohort,2a,2,2025,within,3,384.0,41.3194
reader,cohort,2a,2,2025,within,4,512.0,44.7917
reader,cohort,2a,2,2025,within,5,640.0,47.2222
reader,cohort,2a,2,2025,within,6,768.0,55.9028
reader,cohort,2a,2,2025,within,7,896.0,57.6389
reader,cohort,2a,2,2025,within,8,1024.0,52.4306
reader,cohort,2a,2,2025,within,9,1152.0,53.4722
reader,cohort,2a,2,2025,within,10,1280.0,54.5139
reader,cohort,2a,2,2025,within,11,1408.0,57.9861
reader,cohort,2a,2,2025,within,12,1536.0,59.375
reader,cohort,2a,2,2025,within,13,1664.0,60.7639
reader,cohort,2a,2,2025,within,14,1792.0,63.8889
reader,cohort,2a,2,2025,within,15,1920.0,62.5
reader,cohort,2a,2,2025,within,16,2048.0,65.625
reader,cohort,2a,2,2025,within,17,2176.0,64.2361
reader,cohort,2a,2,2025,within,18,2304.0,66.6667
reader,cohort,2a,2,2025,within,19,2432.0,63.8889
reader,cohort,2a,2,2025,within,20,2560.0,70.1389
reader,cohort,2a,2,2025,within,21,2688.0,68.75
reader,cohort,2a,2,2025,within,22,2816.0,67.3611
reader,cohort,2a,2,2025,within,23,2944.0,69.0972
reader,cohort,2a,2,2025,within,24,3072.0,69.4444
reader,cohort,2a,2,2025,within,25,3200.0,67.0139
reader,cohort,2a,2,2025,within,26,3328.0,69.0972
reader,cohort,2a,2,2025,within,27,3456.0,70.4861
reader,cohort,2a,2,2025,within,28,3584.0,70.1389
reader,cohort,2a,2,2025,within,29,3712.0,70.8333
reader,cohort,2a,2,2025,within,30,3840.0,70.4861
